side,price,size
OrderSide.BUY,132.18,2
OrderSide.BUY,132.18,1
OrderSide.BUY,132.17000000000002,2
OrderSide.BUY,132.17000000000002,2
OrderSide.BUY,132.16,3
OrderSide.BUY,132.16,4
OrderSide.BUY,132.13,2
OrderSide.BUY,132.05,2
OrderSide.BUY,132.02,4
OrderSide.BUY,131.98,1
OrderSide.BUY,131.98,2
OrderSide.BUY,131.98,2
OrderSide.BUY,131.97,2
OrderSide.BUY,131.97,1
OrderSide.BUY,131.97,1
OrderSide.BUY,131.97,1
OrderSide.BUY,131.97,1
OrderSide.BUY,131.97,2
OrderSide.BUY,131.97,2
OrderSide.BUY,131.96,2
OrderSide.BUY,131.96,4
OrderSide.BUY,131.96,5
OrderSide.BUY,131.96,3
OrderSide.BUY,131.96,2
OrderSide.BUY,131.96,4
OrderSide.BUY,131.95,2
OrderSide.BUY,131.95,2
OrderSide.BUY,131.95,6
OrderSide.BUY,131.94,1
OrderSide.BUY,131.94,2
OrderSide.BUY,130.5,1
OrderSide.BUY,130.48,1
OrderSide.BUY,130.45,3
OrderSide.BUY,130.43,7
OrderSide.BUY,130.43,3
OrderSide.BUY,130.43,2
OrderSide.BUY,130.42000000000002,6
OrderSide.BUY,130.41,1
OrderSide.BUY,130.4,2
OrderSide.BUY,130.4,2
OrderSide.BUY,130.39000000000001,3
OrderSide.BUY,130.38,4
OrderSide.BUY,130.37,1
OrderSide.BUY,130.33,7
OrderSide.BUY,130.32,2
OrderSide.BUY,130.31,2
OrderSide.BUY,130.29,9
OrderSide.BUY,130.28,1
OrderSide.BUY,130.28,3
OrderSide.BUY,130.26,3
OrderSide.BUY,129.05,1
OrderSide.BUY,129.02,5
OrderSide.BUY,129.01,1
OrderSide.BUY,129.01,2
OrderSide.BUY,129.01,5
OrderSide.BUY,129.01,3
OrderSide.BUY,129.0,3
OrderSide.BUY,129.0,2
OrderSide.BUY,128.99,1
OrderSide.BUY,128.99,3
OrderSide.BUY,128.99,2
OrderSide.BUY,128.99,3
OrderSide.BUY,128.9,1
OrderSide.BUY,128.9,3
OrderSide.BUY,128.89000000000001,2
OrderSide.BUY,128.88,3
OrderSide.BUY,128.87,1
OrderSide.BUY,128.87,4
OrderSide.BUY,128.87,1
OrderSide.BUY,128.87,3
OrderSide.BUY,128.87,3
OrderSide.BUY,128.86,2
OrderSide.BUY,128.85,5
OrderSide.BUY,128.85,1
OrderSide.BUY,128.85,2
OrderSide.BUY,128.85,2
OrderSide.BUY,128.85,6
OrderSide.BUY,128.85,2
OrderSide.BUY,128.85,2
OrderSide.BUY,128.84,2
OrderSide.BUY,128.84,1
OrderSide.BUY,128.83,8
OrderSide.BUY,128.83,2
OrderSide.BUY,128.83,1
OrderSide.BUY,128.83,3
OrderSide.BUY,128.81,2
OrderSide.BUY,128.81,3
OrderSide.BUY,128.8,1
OrderSide.BUY,128.8,2
OrderSide.BUY,128.8,2
OrderSide.BUY,128.79,6
OrderSide.BUY,128.79,1
OrderSide.BUY,128.79,2
OrderSide.BUY,128.78,1
OrderSide.BUY,128.78,6
OrderSide.BUY,128.78,4
OrderSide.BUY,128.78,1
OrderSide.BUY,128.78,2
OrderSide.BUY,128.78,4
OrderSide.BUY,128.78,2
OrderSide.BUY,128.78,4
OrderSide.BUY,128.77,2
OrderSide.BUY,128.77,2
OrderSide.BUY,128.77,2
OrderSide.BUY,128.77,4
OrderSide.BUY,128.77,6
OrderSide.BUY,128.77,3
OrderSide.BUY,128.77,1
OrderSide.BUY,128.77,1
OrderSide.BUY,128.76,3
OrderSide.BUY,128.75,1
OrderSide.BUY,128.75,2
OrderSide.BUY,128.75,2
OrderSide.BUY,128.75,1
OrderSide.BUY,128.74,2
OrderSide.BUY,128.74,1
OrderSide.BUY,128.74,3
OrderSide.BUY,128.74,3
OrderSide.BUY,128.74,1
OrderSide.BUY,128.74,5
OrderSide.BUY,128.74,2
OrderSide.BUY,128.74,2
OrderSide.BUY,128.74,4
OrderSide.BUY,128.73,2
OrderSide.BUY,128.73,1
OrderSide.BUY,128.73,4
OrderSide.BUY,128.73,1
OrderSide.BUY,128.72,4
OrderSide.BUY,128.72,2
OrderSide.BUY,128.72,6
OrderSide.BUY,128.72,4
OrderSide.BUY,128.72,2
OrderSide.BUY,128.72,4
OrderSide.BUY,128.72,4
OrderSide.BUY,128.72,8
OrderSide.BUY,128.71,3
OrderSide.BUY,128.71,3
OrderSide.BUY,128.7,1
OrderSide.BUY,128.7,3
OrderSide.BUY,128.7,2
OrderSide.BUY,128.7,3
OrderSide.BUY,128.7,1
OrderSide.BUY,128.69,4
OrderSide.BUY,128.68,3
OrderSide.BUY,128.68,2
OrderSide.BUY,128.67000000000002,3
OrderSide.BUY,128.66,2
OrderSide.BUY,128.65,1
OrderSide.BUY,128.64000000000001,2
OrderSide.BUY,128.61,1
OrderSide.BUY,128.6,2
OrderSide.BUY,128.6,2
OrderSide.BUY,128.6,2
OrderSide.BUY,128.6,4
OrderSide.BUY,128.6,2
OrderSide.BUY,128.6,4
OrderSide.BUY,128.6,1
OrderSide.BUY,128.6,1
OrderSide.BUY,128.59,2
OrderSide.BUY,128.59,4
OrderSide.BUY,128.59,1
OrderSide.BUY,128.47,1
OrderSide.BUY,128.45,1
OrderSide.BUY,128.45,1
OrderSide.BUY,128.45,2
OrderSide.BUY,128.44,2
OrderSide.BUY,128.42000000000002,2
OrderSide.BUY,128.41,2
OrderSide.BUY,128.4,5
OrderSide.BUY,128.35,3
OrderSide.BUY,128.31,1
OrderSide.BUY,128.3,2
